,similarity_scores_80,similarity_scores_85,similarity_scores_90,similarity_scores_95
Free Wi-Fi,"['Wifi EnabledFree Wi-Fi', 'Wi-Fi', 'Wi-Fi Internet access', 'Free Wi-Fi Internet Access Included', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Free Wi-Fi Icon', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Free Wi Fi*']","['Wi-Fi', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Free Wi-Fi Icon', 'Internet/Wi-Fi', 'Free Wi Fi*']","['Free Wi-Fi', 'Free Wi-Fi Icon', 'Free Wi Fi*']","['Free Wi-Fi', 'Free Wi Fi*']"
Furnished balcony or patio,"['Furnished balcony', 'Balcony', 'Furnished patio', 'Patio-room', 'Terrace', 'Pool Terrace', 'Furnished balcony or patio', 'Garden terrace', 'Attached Balcony', 'Patio', 'Balcony or patio']","['Furnished balcony', 'Balcony', 'Furnished patio', 'Patio-room', 'Furnished balcony or patio', 'Balcony or patio']","['Furnished balcony', 'Furnished patio', 'Furnished balcony or patio', 'Balcony or patio']","['Furnished balcony or patio', 'Balcony or patio']"
Safe,['Safe'],['Safe'],['Safe'],['Safe']
Boating,['Boating'],['Boating'],['Boating'],['Boating']
Activity centre,"['Activity Centre', 'Activity centre']","['Activity Centre', 'Activity centre']","['Activity Centre', 'Activity centre']","['Activity Centre', 'Activity centre']"
Air Conditioning,"['Central Air Conditioning', 'Air conditioning-Room', 'Air Conditioning', 'Air Conditioned', 'Air conditioning']","['Central Air Conditioning', 'Air conditioning-Room', 'Air Conditioning', 'Air Conditioned', 'Air conditioning']","['Central Air Conditioning', 'Air conditioning-Room', 'Air Conditioning', 'Air conditioning']","['Air Conditioning', 'Air conditioning']"
Turndown service (on request),"['Turndown service (on request)', 'Turndown service']","['Turndown service (on request)', 'Turndown service']",['Turndown service (on request)'],['Turndown service (on request)']
Children's club,"[""Children's pool"", ""Children's club (free)"", ""Children's Playground"", ""Children's play area"", ""Children's entertainment"", ""Children's club (surcharge)"", ""Children's activities"", ""Children's club"", ""1 children's pool"", ""Children's Play Area""]","[""Children's pool"", ""Children's club (free)"", ""Children's Playground"", ""Children's play area"", ""Children's entertainment"", ""Children's club (surcharge)"", ""Children's activities"", ""Children's club"", ""Children's Play Area""]","[""Children's club (free)"", ""Children's club""]","[""Children's club""]"
24 hour business centre,"['Room service (24 hours)', '24 hour room service', '24-hour business center', '24-hr Room Service', 'Business Centre', '24-hour health club', 'Business centre', '24 hour business centre', '24-hour fitness facilities', '24-hour Room Service']","['24-hour business center', '24 hour business centre']","['24-hour business center', '24 hour business centre']","['24-hour business center', '24 hour business centre']"
Courtesy Shuttle Service,"['Shuttle Service', 'Beach Shuttle Service', 'Shuttle Service (surcharge)', 'House Car & Shuttle Service', 'Courtesy Shuttle Service', 'Shuttle Service (free)']","['Shuttle Service', 'Courtesy Shuttle Service', 'Shuttle Service (free)']","['Shuttle Service', 'Courtesy Shuttle Service']",['Courtesy Shuttle Service']
Train station pickup (surcharge),"['Complimentary Airport/Railway Station Transfer', 'Airport transportation - pickup (complimentary)', 'Complimentary Airport/railway Station Transfer', 'Train station pickup (surcharge)', 'Airport transportation - pickup (surcharge)', 'Train station pickup (complimentary)']","['Train station pickup (surcharge)', 'Airport transportation - pickup (surcharge)', 'Train station pickup (complimentary)']","['Train station pickup (surcharge)', 'Train station pickup (complimentary)']",['Train station pickup (surcharge)']
Facilities for disabled guests,"['Disabled facilities', 'Disabled Facilities', 'Facilities for disabled guests', 'Rooms/Facilities for Disabled Guests']","['Disabled facilities', 'Disabled Facilities', 'Facilities for disabled guests', 'Rooms/Facilities for Disabled Guests']","['Facilities for disabled guests', 'Rooms/Facilities for Disabled Guests']","['Facilities for disabled guests', 'Rooms/Facilities for Disabled Guests']"
Wi-Fi Internet,"['Wifi EnabledFree Wi-Fi', 'Wi-Fi', 'Wi-Fi Internet access', 'Free Wi-Fi Internet Access Included', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Free Wi-Fi Icon', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Free Wi Fi*', 'Chargeable Wi Fi Internet Connectivity']","['Wifi EnabledFree Wi-Fi', 'Wi-Fi', 'Wi-Fi Internet access', 'Wi-fi', 'Wi Fi Internet', 'Free Wi-Fi', 'Wi-Fi Internet', 'Wi-Fi/Wireless LAN', 'Wi-Fi/Wireless LANMinibar', 'Internet/Wi-Fi', 'Free Wi Fi*', 'Chargeable Wi Fi Internet Connectivity']","['Wi-Fi Internet access', 'Wi Fi Internet', 'Wi-Fi Internet', 'Internet/Wi-Fi']","['Wi Fi Internet', 'Wi-Fi Internet', 'Internet/Wi-Fi']"
Water Sports,"['Water Sports Facilities on site', 'Water Sports']",['Water Sports'],['Water Sports'],['Water Sports']
Dance Floor,['Dance Floor'],['Dance Floor'],['Dance Floor'],['Dance Floor']
Waterfall,['Waterfall'],['Waterfall'],['Waterfall'],['Waterfall']
Garden terrace,"['Rooftop terrace', 'Garden View', 'Furnished patio', 'Terrace', 'Sun Terrace', 'Rooftop garden', 'Pool Terrace', 'Gardens', 'Garden', 'Private Garden', 'Garden view', 'Furnished balcony or patio', 'Garden terrace', 'Sun terrace', 'Balcony or patio']","['Rooftop terrace', 'Terrace', 'Rooftop garden', 'Pool Terrace', 'Garden', 'Garden terrace']","['Terrace', 'Garden terrace']",['Garden terrace']
Golfing,['Golfing'],['Golfing'],['Golfing'],['Golfing']
Valet parking (surcharge),"['Shuttle Service (surcharge)', 'Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Valet parking', 'Parking (surcharge)', 'Free valet parking', 'Garage parking (surcharge)', 'Parking', 'Valet', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Parking(valet)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Valet Parking', 'valet', 'Self parking (surcharge)', 'Area shuttle (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']","['Secure parking (surcharge)', 'Valet parking', 'Parking (surcharge)', 'Free valet parking', 'Garage parking (surcharge)', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Parking(valet)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Valet Parking', 'Self parking (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']","['Valet parking', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Parking(surcharge)', 'Parking(valet)', 'Valet parking (surcharge)', 'Valet Parking']","['Parking (surcharge)', 'Parking(surcharge)', 'Valet parking (surcharge)']"
Waterslide,['Waterslide'],['Waterslide'],['Waterslide'],['Waterslide']
Beach towels,"['Beach umbrellas', 'Beach towels', 'Beach/pool umbrellas']",['Beach towels'],['Beach towels'],['Beach towels']
Doctor on Call,"['24 Hour Doctor On Call.', 'Wake up call service on request', 'Doctor on Call', 'Dentist on call', 'Doctor on call']","['24 Hour Doctor On Call.', 'Doctor on Call', 'Dentist on call', 'Doctor on call']","['Doctor on Call', 'Doctor on call']","['Doctor on Call', 'Doctor on call']"
Dentist on call,"['Doctor on Call', 'Dentist on call', 'Doctor on call']","['Doctor on Call', 'Dentist on call', 'Doctor on call']",['Dentist on call'],['Dentist on call']
Hiking,"['Mountain biking', 'Hiking/biking trails', 'Hiking']","['Hiking/biking trails', 'Hiking']","['Hiking/biking trails', 'Hiking']",['Hiking']
Showers only,"['Shower only', 'Showers only']","['Shower only', 'Showers only']",['Showers only'],['Showers only']
Parking nearby (surcharge),"['Free parking nearby', 'Secure parking (surcharge)', 'Secure covered parking (surcharge)', 'Valet parking', 'Parking nearby', 'Parking (surcharge)', 'Long-term parking (surcharge)', 'Garage parking (surcharge)', 'Parking', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Parking Facility', 'Secure outdoor parking (surcharge)', 'Parking(valet)', 'Water park access (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Valet Parking', 'Parking (nearby)', 'Self parking (surcharge)', 'Area shuttle (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']","['Secure parking (surcharge)', 'Parking nearby', 'Parking (surcharge)', 'Garage parking (surcharge)', 'Parking', 'Parking(surcharge)', 'Covered parking (surcharge)', 'Secure outdoor parking (surcharge)', 'Valet parking (surcharge)', 'Parking nearby (surcharge)', 'Parking (nearby)', 'Self parking (surcharge)', 'Area shuttle (surcharge)', 'Outdoor parking (surcharge)', 'Parking limited (surcharge)']","['Parking (surcharge)', 'Parking(surcharge)', 'Parking nearby (surcharge)']",['Parking nearby (surcharge)']
Private bathroom,"['Shared bathroom', 'Private spa tub', 'Private Pool', 'Private bathroom', 'Shared bathroom with sink in room']",['Private bathroom'],['Private bathroom'],['Private bathroom']
Library,"['Reference library', 'Music library', 'Video library', 'Library']","['Reference library', 'Library']",['Library'],['Library']
Currency exchange,"['Currency Exchange', 'Currency exchange']","['Currency Exchange', 'Currency exchange']","['Currency Exchange', 'Currency exchange']","['Currency Exchange', 'Currency exchange']"
Jogging track,"['Jogging track (nearby)', 'Jogging track']","['Jogging track (nearby)', 'Jogging track']",['Jogging track'],['Jogging track']
Snorkelling,['Snorkelling'],['Snorkelling'],['Snorkelling'],['Snorkelling']
Room Size: 17 sq m (182 sq ft),"['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', '250 to 375 sq ft', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', '350 to 375 sq ft', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['460 Sq Ft', '46 Sq', 'Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', '260 Sq Ft', '460 Sq. Ft.', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', '250 sq ft', 'Room Size: 14 sq m (150 sq ft)', '568 Sq Ft', 'Room Size:140 sq m(1506 sq ft)', '440 sq ft', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size: 330 sq m (3552 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']","['Room Size:26 sq m(279 sq ft)', 'Room Size:116 sq m(1248 sq ft)', 'Room Size:19 sq m(200 sq ft)', 'Room Size:53 sq m(570 sq ft)', 'Room Size:23 sq m(246 sq ft)', 'Room Size:31 sq m(334 sq ft)', 'Room Size: 234 sq m (2518 sq ft)', 'Room Size:41 sq m(442 sq ft)', 'Room Size: 24 sq m (246 Sq ft)', 'Room Size:44 sq m(474 sq ft)', 'Room Size:51 sq m(548 sq ft)', 'Room Size:56 sq m(602 sq ft)', 'Room Size:28 sq m(301 sq ft)', 'Room Size: 500 sq m (5381 sq ft)', 'Room Size: 11 sq m (118 sq ft)', 'Room Size: 12 sq m (129 sq ft)', 'Room Size:29 sq m(312 sq ft)', 'Room Size: 380 sq m (4090 sq ft)', 'Room Size: 13 sq m (140 sq ft)', 'Room Size:20 sq m(215 sq ft)', 'Room Size:24 sq m(259 sq ft)', 'Room Size:21 sq m(226 sq ft)', 'Room Size:76 sq m(839 sq ft)', 'Room Size: 17 sq m (182 sq ft)', 'Room Size:32 sq m(344 sq ft)', 'Room Size:22 sq m(236 sq ft)', 'Room Size: 14 sq m (150 sq ft)', 'Room Size:140 sq m(1506 sq ft)', 'Room Size:25 sq m(269 sq ft)', 'Room Size:30 sq m(323 sq ft)', 'Room Size:60 sq m(646 sq ft)', 'Room Size: 15 sq m (160 sq ft)', 'Room Size:66 sq m(709 sq ft)']"
Attached Balcony,"['Furnished balcony', 'Attached Bathroom', 'Balcony', 'Furnished balcony or patio', 'Attached Balcony', 'Attach balcony', 'Balcony or patio']","['Balcony', 'Attached Balcony', 'Attach balcony']","['Attached Balcony', 'Attach balcony']",['Attached Balcony']
Outdoor pool (all year),"['Outdoor Swimming Pool (all year)', '1 outdoor pool (heated)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Indoor Swimming Pool (seasonal)', 'Indoor Swimming Pool', 'Outdoor Swimming Pool (seasonal)', 'Kids Pool', 'Swimming pool (men only)', 'Swimming pool - indoor', 'Swimming pool - outdoor', 'Outdoor pool (all year)', ""Swimming pool - children's"", 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)', 'Outdoor pool (seasonal)']","['Outdoor Swimming Pool (all year)', 'Outdoor Swimming Pool', 'Swimming pool (outdoor)', 'Outdoor Swimming Pool (seasonal)', 'Swimming pool - outdoor', 'Outdoor pool (all year)', 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)', 'Outdoor pool (seasonal)']","['Outdoor Swimming Pool (all year)', 'Outdoor pool (all year)', 'Indoor Swimming Pool (all year)', 'Indoor pool (all year)']","['Outdoor Swimming Pool (all year)', 'Outdoor pool (all year)', 'Indoor pool (all year)']"
Snack Bar,"['Poolside bar', 'Bar', 'Restaurant/Bar', 'Poolside Bar', 'Snack Bar', 'Snack bar/deli']","['Bar', 'Snack Bar', 'Snack bar/deli']","['Snack Bar', 'Snack bar/deli']",['Snack Bar']
